horizon,group,model,rmseNoPrice,rmseWithPrice,rmseImprovement,maeNoPrice,maeWithPrice,maeImprovement,priceHelpedRmse,priceHelpedMae
12-month,Agriculture,LinearRegression,13.062711970048968,15.774257360063393,-2.7115453900144253,11.294539006228337,14.77506625203509,-3.480527245806753,No,No
12-month,Agriculture,RandomForest,10.287783145581532,10.496873540265419,-0.20909039468388713,8.55752207451714,8.923788939276617,-0.3662668647594778,No,No
12-month,Clothing and Footwear,LinearRegression,34.650233035692644,25.35548644728399,9.294746588408653,33.23762735622315,23.101696413374796,10.135930942848354,Yes,Yes
12-month,Clothing and Footwear,RandomForest,31.399356709879427,31.224101053408994,0.1752556564704335,30.663313543410734,30.41878349540784,0.24453004800289335,Yes,Yes
12-month,Furniture and Fixtures,LinearRegression,10.995388688227877,8.306359420664966,2.68902926756291,9.289213331640106,6.497586503576067,2.7916268280640386,Yes,Yes
12-month,Furniture and Fixtures,RandomForest,14.24462029616638,8.69979992128589,5.544820374880489,13.4988315592706,7.62647314349364,5.872358415776961,Yes,Yes
3-month,Agriculture,LinearRegression,12.904271681479907,13.759385444861467,-0.85511376338156,10.203788077288205,11.078662589073463,-0.8748745117852579,No,No
3-month,Agriculture,RandomForest,15.32139722894697,16.264805477449837,-0.9434082485028661,13.339056946372347,14.045455213572836,-0.7063982672004894,No,No
3-month,Clothing and Footwear,LinearRegression,16.780325781374362,12.889714573733034,3.890611207641328,14.769472912892638,10.433761972235995,4.335710940656643,Yes,Yes
3-month,Clothing and Footwear,RandomForest,26.816801688157653,26.173522127962467,0.643279560195186,24.83376193448997,24.111527877263345,0.7222340572266255,Yes,Yes
3-month,Furniture and Fixtures,LinearRegression,5.899065801278599,4.4803619191608535,1.4187038821177458,4.754636478735312,3.8368669411689966,0.9177695375663157,Yes,Yes
3-month,Furniture and Fixtures,RandomForest,4.949451565702425,4.79936819744987,0.15008336825255508,3.739560944366695,3.4685613431971776,0.2709996011695175,Yes,Yes
